EpThisIter,entropy,TimestepsSoFar,EpLenMean,EpRewMean,TimeElapsed,surrgain,optimgain,EpisodesSoFar,ev_tdlam_before,Iteration,trial,meankl,entloss
5,1.6058047,105400,200.0,-889.6508880233362,52.302932262420654,0.015313523,0.015313523,527,0.00034999847412109375,103,0,0.0071753394,0.0
5,1.6213398,106400,200.0,-893.6627971120721,52.76203799247742,0.025868777,0.025868777,532,0.05262631177902222,104,0,0.008297309,0.0
5,1.5948814,107400,200.0,-907.3314980870904,53.21608209609985,0.01526384,0.01526384,537,0.12431305646896362,105,0,0.006395896,0.0
5,1.6039125,108400,200.0,-891.3699268097316,53.66665601730347,0.017925443,0.017925443,542,0.229611337184906,106,0,0.008069912,0.0
5,1.5989918,109400,200.0,-889.0200177164967,54.106566190719604,0.01699276,0.01699276,547,0.27588218450546265,107,0,0.007685514,0.0
5,1.5842209,110400,200.0,-889.4635309353032,54.54096508026123,0.016714409,0.016714409,552,0.23713243007659912,108,0,0.008068989,0.0
6,1.6167387,111600,200.0,-889.4897047204374,54.98304104804993,0.017765708,0.017765708,558,0.22049778699874878,109,0,0.007979359,0.0
5,1.6191405,112600,200.0,-913.9759630913138,55.41746115684509,0.01848386,0.01848386,563,0.11076164245605469,110,0,0.006102642,0.0
5,1.6523818,113600,200.0,-917.1064550012989,55.84866404533386,0.02236305,0.02236305,568,0.1361171007156372,111,0,0.007014407,0.0
5,1.6379085,114600,200.0,-903.5562542195916,56.288339138031006,0.014804479,0.014804479,573,0.15378713607788086,112,0,0.007965184,0.0
5,1.6639117,115600,200.0,-917.7406108708637,56.732003927230835,0.013890325,0.013890325,578,0.18782693147659302,113,0,0.006513063,0.0
5,1.7077943,116600,200.0,-932.3839353274445,57.17063593864441,0.019676235,0.019676235,583,0.17498207092285156,114,0,0.007019186,0.0
5,1.7181685,117600,200.0,-922.7140288734248,57.61620903015137,0.016902091,0.016902091,588,0.22884917259216309,115,0,0.007492505,0.0
5,1.7410262,118600,200.0,-936.4446878102437,58.04530715942383,0.01818673,0.01818673,593,0.2825430631637573,116,0,0.0069293524,0.0
6,1.7339475,119800,200.0,-926.1331013793493,58.48836302757263,0.019041942,0.019041942,599,0.17859333753585815,117,0,0.00715949,0.0
5,1.7137234,120800,200.0,-889.3599803016295,58.929646015167236,0.01646204,0.01646204,604,0.250092089176178,118,0,0.0071800817,0.0
5,1.7492656,121800,200.0,-900.4380829356265,59.36813402175903,0.014912749,0.014912749,609,0.22004562616348267,119,0,0.006818119,0.0
5,1.7644045,122800,200.0,-894.8569086209745,59.803919076919556,0.012384364,0.012384364,614,0.21889734268188477,120,0,0.0069528925,0.0
5,1.7336953,123800,200.0,-899.8483377808303,60.24552011489868,0.017117396,0.017117396,619,0.31808364391326904,121,0,0.0074712234,0.0
5,1.7175816,124800,200.0,-879.2754473659936,60.68116903305054,0.019291826,0.019291826,624,0.23349177837371826,122,0,0.007999193,0.0
5,1.6942966,125800,200.0,-880.0715337787115,61.11870098114014,0.020453498,0.020453498,629,0.18919187784194946,123,0,0.006040613,0.0
5,1.689017,126800,200.0,-834.8680594376068,61.56431293487549,0.017101226,0.017101226,634,0.14342325925827026,124,0,0.0079652,0.0
6,1.6923287,128000,200.0,-818.9195816890096,61.99478507041931,0.01724346,0.01724346,640,0.25000911951065063,125,0,0.007577639,0.0
5,1.6882042,129000,200.0,-811.6650969777209,62.513148069381714,0.017596524,0.017596524,645,0.36340463161468506,126,0,0.0071435026,0.0
5,1.6698626,130000,200.0,-780.0732419413089,62.98119497299194,0.016076934,0.016076934,650,0.40513646602630615,127,0,0.0055900244,0.0
5,1.6625673,131000,200.0,-790.3717025015928,63.43449687957764,0.013614001,0.013614001,655,0.5116075575351715,128,0,0.0071248417,0.0
5,1.6243894,132000,200.0,-763.1891395928744,63.87869215011597,0.020404276,0.020404276,660,0.5543843805789948,129,0,0.009463303,0.0
5,1.6883543,133000,200.0,-791.9589402482991,64.33151006698608,0.012984401,0.012984401,665,0.5114381015300751,130,0,0.0074617052,0.0
5,1.6790686,134000,200.0,-798.6479344334846,64.76862406730652,0.012139041,0.012139041,670,0.557550698518753,131,0,0.007627162,0.0
5,1.6936318,135000,200.0,-802.0912563585098,65.21500897407532,0.0204242,0.0204242,675,0.6484239101409912,132,0,0.0057561183,0.0
5,1.6799616,136000,200.0,-835.7308650929696,65.66129302978516,0.014646399,0.014646399,680,0.5707651078701019,133,0,0.0073454315,0.0
6,1.6820159,137200,200.0,-795.4531325980222,66.09055614471436,0.016347725,0.016347725,686,0.4393981099128723,134,0,0.007532159,0.0
5,1.6427525,138200,200.0,-857.6525103837818,66.53468608856201,0.019013353,0.019013353,691,0.5351105332374573,135,0,0.008050223,0.0
5,1.6712947,139200,200.0,-889.543074940256,66.9762122631073,0.016912563,0.016912563,696,0.5677103102207184,136,0,0.008160882,0.0
5,1.6826245,140200,200.0,-876.8869275962395,67.448007106781,0.022986222,0.022986222,701,0.6152241230010986,137,0,0.0065481295,0.0
5,1.692047,141200,200.0,-866.6412449121048,67.88416290283203,0.015564419,0.015564419,706,0.6937991976737976,138,0,0.0092463065,0.0
5,1.6358876,142200,200.0,-906.6146012314359,68.32908725738525,0.014549969,0.014549969,711,0.6111746728420258,139,0,0.0086333845,0.0
5,1.5970461,143200,200.0,-959.6274360346731,68.78034710884094,0.012956254,0.012956254,716,0.6276789009571075,140,0,0.007649499,0.0
5,1.6205438,144200,200.0,-914.9543056143257,69.23044395446777,0.020511247,0.020511247,721,0.6949518918991089,141,0,0.0068075014,0.0
6,1.6011639,145400,200.0,-963.5596854617,69.66187405586243,0.017612673,0.017612673,727,0.7222206890583038,142,0,0.007509051,0.0
5,1.5811065,146400,200.0,-902.4579921488464,70.09897422790527,0.015771579,0.015771579,732,0.7854034900665283,143,0,0.006722507,0.0
5,1.5722259,147400,200.0,-820.76027486225,70.53854823112488,0.023763632,0.023763632,737,0.5684344172477722,144,0,0.008577191,0.0
5,1.547854,148400,200.0,-746.2502590953794,70.97548007965088,0.020550525,0.020550525,742,0.7302170097827911,145,0,0.0074466374,0.0
5,1.5208741,149400,200.0,-687.9848925793439,71.40806913375854,0.02188138,0.02188138,747,0.6499310433864594,146,0,0.0074865683,0.0
5,1.4676234,150400,200.0,-581.3777650639179,71.84011006355286,0.016567867,0.016567867,752,0.9001332893967628,147,0,0.007934008,0.0
5,1.4666668,151400,200.0,-504.17198812971776,72.27469205856323,0.035555243,0.035555243,757,0.8156092762947083,148,0,0.0069996463,0.0
5,1.4599916,152400,200.0,-457.1346964876376,72.71046113967896,0.0385167,0.0385167,762,0.9547784961760044,149,0,0.00680733,0.0
6,1.45212,153600,200.0,-362.102733996172,73.1514790058136,0.034849696,0.034849696,768,0.9644750691950321,150,0,0.006821919,0.0
5,1.4218166,154600,200.0,-321.322330602777,73.59772801399231,0.02810319,0.02810319,773,0.9370371103286743,151,0,0.0069392263,0.0
5,1.4347754,155600,200.0,-276.1153904002533,74.04594016075134,0.029074531,0.029074531,778,0.9609827622771263,152,0,0.007027568,0.0
5,1.4240423,156600,200.0,-254.26487488783627,74.48641300201416,0.032984547,0.032984547,783,0.9192792028188705,153,0,0.007853206,0.0
