policy_loss,value_loss,explained_variance,EpRewMean,Iteration,serial_timesteps,fps,trial,loss_ent,total_timesteps,nupdates,approxkl,Name,clipfrac,time_elapsed,EpLenMean
-0.0019338209,0.0048362375,0.7558272331953049,54.785473200000006,127,260096,509,0,0.7935138,260096,127,0.007606047,PP02,0.09624024,524.5759403705597,655.43
-0.00052495115,0.0037456595,0.6369582116603851,60.14900983,128,262144,696,0,0.7816357,262144,128,0.006647595,PP02,0.07861328,527.515466928482,673.95
-0.002085294,0.0014986905,0.871637225151062,62.14619616,129,264192,441,0,0.76116866,264192,129,0.006113156,PP02,0.0753418,532.1548917293549,674.74
-0.0014216425,0.007962199,0.7754241973161697,66.12467733,130,266240,569,0,0.7530217,266240,130,0.008734664,PP02,0.11655273,535.7495067119598,679.46
-0.00030400307,0.009762576,0.7446298003196716,64.91062462,131,268288,414,0,0.7429968,268288,131,0.006334496,PP02,0.0715332,540.6868529319763,674.41
-0.003960725,0.0033283797,0.9051758125424385,66.68364638,132,270336,615,0,0.7245498,270336,132,0.0081589725,PP02,0.1050293,544.0135328769684,678.5
-0.0014728846,0.0017430246,0.7836728245019913,67.6869945,133,272384,447,0,0.7085729,272384,133,0.005884289,PP02,0.071582034,548.5915529727936,689.87
-0.004789285,0.0037998701,0.7467723488807678,65.67472513999999,134,274432,447,0,0.7126352,274432,134,0.008559522,PP02,0.10942383,553.1654744148254,694.26
-0.005380404,0.004904137,0.8438041657209396,69.47715653999998,135,276480,570,0,0.7146324,276480,135,0.008114992,PP02,0.10336914,556.7556438446045,682.32
0.0024887878,0.007888771,0.7333580255508423,72.22695441,136,278528,587,0,0.6884043,278528,136,0.012837887,PP02,0.17021485,560.2434101104736,687.89
0.000125193,0.0079454295,0.7583804130554199,73.34764262,137,280576,500,0,0.6490306,280576,137,0.0069542974,PP02,0.08129883,564.3335604667664,681.32
-0.0019136437,0.0030019465,0.8459765911102295,75.38058867,138,282624,499,0,0.6035786,282624,138,0.008955336,PP02,0.11235352,568.4311983585358,683.19
0.0014007699,0.0070650065,0.6294215619564056,75.30207429,139,284672,576,0,0.5758992,284672,139,0.008295647,PP02,0.10219727,571.9823400974274,687.66
-0.0033248882,0.00029788964,0.9378337413072586,75.38087384999999,140,286720,567,0,0.5770849,286720,140,0.008983703,PP02,0.12045898,575.5934479236603,692.94
-0.0026810875,0.01750772,0.5833283364772797,72.53375750000001,141,288768,721,0,0.5795115,288768,141,0.009699942,PP02,0.11801758,578.4319550991058,690.15
-0.0026219613,0.006136883,0.7575680762529373,72.46480394999999,142,290816,560,0,0.56701094,290816,142,0.009660178,PP02,0.12314453,582.0876438617706,694.29
-0.0012836795,0.02869134,0.5479554533958435,73.62983434,143,292864,701,0,0.55437255,292864,143,0.010383728,PP02,0.13374023,585.0085353851318,680.07
-0.0052177943,0.0013831981,0.8439223766326904,72.33480761999999,144,294912,537,0,0.5603699,294912,144,0.009345935,PP02,0.13125,588.8198800086975,684.53
0.00037783524,0.0034949344,0.8080544769763947,75.08812833,145,296960,471,0,0.5636736,296960,145,0.008869936,PP02,0.11103515,593.1662886142731,684.26
-0.0017613459,0.010264031,0.7896876037120819,75.84204679999999,146,299008,655,0,0.53653204,299008,146,0.00991049,PP02,0.12875977,596.2930891513824,676.0
-0.0032085243,0.010271879,0.7214694321155548,75.20501836,147,301056,500,0,0.5152885,301056,147,0.008316533,PP02,0.09848633,600.3888604640961,671.04
-0.0042504873,0.0038876906,0.6985965967178345,73.39404896,148,303104,464,0,0.5264769,303104,148,0.008377364,PP02,0.09584961,604.7996027469635,675.08
-0.0044673905,0.012145905,-0.2337934970855713,72.40615761,149,305152,560,0,0.535576,305152,149,0.009025808,PP02,0.11679687,608.4528179168701,684.82
-0.00060208497,0.012534035,0.4812946319580078,71.36925719,150,307200,664,0,0.5154511,307200,150,0.009158958,PP02,0.11240234,611.5343248844147,680.2
-0.0034601714,0.0008075374,0.7486713230609894,71.79523539,151,309248,449,0,0.503883,309248,151,0.009697159,PP02,0.13061523,616.0956618785858,686.19
-0.0015692662,0.0038730868,0.7645152509212494,72.94539309000001,152,311296,493,0,0.49707347,311296,152,0.006702088,PP02,0.08256836,620.2433695793152,690.73
0.0018726864,0.014198291,0.428752601146698,69.31259568,153,313344,655,0,0.48853984,313344,153,0.009170488,PP02,0.112939455,623.3694589138031,688.89
-0.0015035578,0.010951072,0.2543279528617859,66.75172913,154,315392,533,0,0.49494782,315392,154,0.009689762,PP02,0.1215332,627.2062470912933,688.11
0.00044573742,0.0064624688,0.5089749097824097,66.13395791,155,317440,581,0,0.48225665,317440,155,0.008035396,PP02,0.101464845,630.7277648448944,694.86
-0.0010444014,0.0007149747,0.9120356068015099,66.8611229,156,319488,430,0,0.46139994,319488,156,0.009664318,PP02,0.12148438,635.480119228363,700.42
-0.002914194,0.017262844,0.23389947414398193,68.91084094,157,321536,507,0,0.44815928,321536,157,0.009768156,PP02,0.121875,639.5129818916321,700.45
-0.005220241,0.0071729245,0.7116249799728394,72.30653987999999,158,323584,519,0,0.42620984,323584,158,0.007982032,PP02,0.0993164,643.4581990242004,703.37
-0.0015539147,0.001397112,0.8259270042181015,70.37734316,159,325632,574,0,0.39701468,325632,159,0.008610789,PP02,0.10566406,647.022766828537,714.53
-0.0016603026,0.017417504,0.30062466859817505,73.12833882000001,160,327680,564,0,0.3721797,327680,160,0.009443715,PP02,0.11879883,650.6538219451904,707.47
