#{"t_start": 1523010276.16183, "env_id": "RockSample"}
r,l,t
-1,2,14.862038
-2,4,14.864864
-2,4,14.867247
-3,8,14.872847
-4,20,14.884806
-1,3,14.886495
-2,42,14.913933
-2,2,14.915527
-1,3,14.918859
-1,2,14.920094
-4,34,14.943258
-1,5,14.946322
0,15,14.956322
-2,16,14.96557
-1,3,14.967805
-1,10,14.973036
-1,30,14.986967
-1,6,14.989701
1,7,14.992984
-1,1,14.993502
-2,5,14.995846
-1,1,14.996455
-1,1,14.996998
-1,1,14.997541
-2,4,14.999918
-3,9,15.004225
-4,15,15.011531
-1,33,15.027119
-1,2,15.02809
-2,5,15.030626
-1,1,15.031164
-2,13,15.037134
-2,13,15.043342
-2,12,15.049976
-1,1,15.050505
-2,3,15.051937
-1,3,15.053314
-1,3,15.054685
0,4,15.056537
-3,6,15.059336
-1,3,15.060956
-2,9,15.065099
-1,16,15.072351
-1,7,15.075863
0,13,15.081712
-1,1,15.082265
-1,4,15.084609
-1,1,15.08517
-1,21,15.095169
-1,2,15.096191
-1,13,15.103374
-1,1,15.10393
-1,2,15.104884
-2,2,15.105865
-2,9,15.109939
-9,22,15.121436
-3,8,15.125596
-1,5,15.127857
-1,21,15.137853
-2,4,15.140517
-1,10,15.145489
-1,2,15.14646
-2,10,15.151065
-2,2,15.152091
-1,7,15.155542
-2,4,15.157439
-4,5,15.15985
-1,1,15.160368
-2,16,15.167749
-1,1,15.168333
-1,13,15.174967
-1,1,15.175512
-1,1,15.176067
-1,4,15.177902
-2,5,15.180262
-1,1,15.180796
-1,1,15.181311
-5,7,15.184965
-2,2,15.185979
-1,5,15.188333
-1,1,15.18885
-1,11,15.193849
-1,1,15.194385
0,10,15.201637
-1,4,15.203539
-1,1,15.204075-6,40,15.617267
-1,3,15.619286
-1,14,15.625397
-1,1,15.625857
-1,1,15.626314
0,14,15.631531
-4,16,15.637345
-1,1,15.637779
-1,1,15.638189
-4,10,15.642287
-1,1,15.642737
-1,3,15.643883
-1,1,15.644304
-1,1,15.644713
-1,6,15.646817
-1,24,15.657781
-2,12,15.66226
-1,1,15.662687
-1,1,15.663138
-1,2,15.663912
-1,1,15.664369
-1,4,15.665808
-2,19,15.672736
-1,1,15.673361
-1,1,15.673855
-2,5,15.675669
-2,6,15.677941
-1,1,15.678382
-1,3,15.679488
-2,8,15.682447
-3,26,15.69159
0,14,15.696457
-4,12,15.701188
-1,1,15.701725
-2,2,15.702621
-3,5,15.705098
-1,2,15.705921
-1,7,15.70836
-1,7,15.710779
-1,2,15.711529
-1,1,15.711935
-1,1,15.712345
-1,1,15.712757
-1,1,15.713197
-2,8,15.71658
-1,1,15.717017-1,11,16.3266
-1,1,16.327154
-1,2,16.328113
-3,9,16.335597
-1,1,16.336147
-1,1,16.336661
-1,2,16.337626
0,9,16.343241
0,8,16.348985
-1,3,16.352297
-3,11,16.361105
-1,2,16.362164
-1,5,16.364457
-1,5,16.367368
0,6,16.370369
-1,1,16.370975
-2,18,16.379815
-1,2,16.38079
-1,12,16.386413
-4,11,16.391443
-1,2,16.392586
-4,21,16.402336
-5,16,16.410503
-1,4,16.41239
-1,1,16.412908
-1,4,16.414728
-2,12,16.420202
-1,2,16.421164
-1,2,16.422343
-1,5,16.424609
-1,2,16.425549
0,12,16.430863
-1,3,16.432431
-3,5,16.434779
-1,1,16.435306
-1,1,16.435835
-1,6,16.438886
-2,4,16.441092
-1,1,16.441695
1,20,16.451658
-1,2,16.452859
-1,3,16.454277
2,16,16.461487
-1,2,16.462478
-3,3,16.463962
-2,11,16.469054
-1,1,16.469582
-1,1,16.470093
-1,13,16.476377
-1,3,16.477786
-1,1,16.478301
-1,2,16.479281
-1,1,16.479789
-2,2,16.480767
-5,18,16.489141
-1,1,16.48967
-1,2,16.490614
-1,17,16.500397
0,4,16.502424
-1,4,16.504401
-1,3,16.506095
-2,2,16.507124
-1,12,16.512551
-1,1,16.513071
-2,28,16.526838
-2,4,16.528884
-4,19,16.541722
-1,4,16.543989
-1,1,16.544842
-1,10,16.550485
-1,1,16.551029
-1,3,16.552416
-1,3,16.553792
-7,45,16.57502
-4,28,16.588092
-3,3,16.589644
0,10,16.594994
-2,7,16.598263
-3,29,16.612228
-2,4,16.614848
1,8,16.619241
-1,2,16.62038
-2,2,16.621674
-1,1,16.622281
-1,2,16.623268
-2,11,16.62841
-1,2,16.629404
-1,1,16.629917
-2,8,16.633615
-5,14,16.640217
-1,6,16.642987
-1,3,16.644382
-2,24,16.656036
0,12,16.661408
-1,1,16.661926
-1,2,16.662904
-5,27,16.676695
-1,1,16.677357
-1,5,16.680002
-1,5,16.68252
-4,30,16.696374
-5,12,16.702674
-2,12,16.70886
0,8,16.713117
-2,5,16.71566
-3,6,16.718936
-1,4,16.720777
-1,2,16.721727
-1,1,16.722242
-1,1,16.722748
-1,1,-2,8,17.18296
-3,8,17.185818
-1,9,17.188999
-1,3,17.190078
-1,2,17.190818
-1,2,17.191561
-1,10,17.195197
-1,2,17.195949
-2,4,17.197709
-1,1,17.19815
-3,15,17.203412
-1,5,17.205293
-1,1,17.205734
-2,3,17.207033
-2,23,17.215449
-1,5,17.217353
-1,5,17.219178
-1,5,17.221003
-1,1,17.221415
-3,17,17.227572
-1,1,17.228003
-2,11,17.232063
-1,1,17.232489
-1,1,17.232902
-1,2,17.233647
-1,1,17.234053
-2,11,17.23815
-2,14,17.243173
-3,22,17.251546
-1,13,17.256235
-1,15,17.262659
-1,3,17.263786
-1,1,17.264274
-1,1,17.264694
-1,5,17.266842
-1,1,17.267413
-1,1,17.268406
-5,18,17.276134
-1,3,17.278551
-1,1,17.279119
-1,9,17.282414
-2,5,17.284441
-1,2,17.285599
-2,16,17.29151
-1,1,17.29201
-1,2,17.292878
-2,10,17.298453
-2,5,17.300444
-2,3,17.301642
-1,4-4,18,17.860226
-1,2,17.861353
-1,3,17.864374
-1,1,17.866306
-1,1,17.867636
-1,2,17.870681
-2,4,17.872869
-5,17,17.885912
-2,14,17.896401
-1,1,17.896997
0,6,17.901715
0,11,17.907353
-2,6,17.910259
-1,7,17.9135
-1,2,17.914459
-4,7,17.917828
-2,4,17.919735
-1,2,17.920693
-1,1,17.921203
-2,12,17.926681
-4,24,17.937648
-1,2,17.938623
-3,16,17.946122
-1,1,17.946656
-2,6,17.949394
-3,12,17.955327
-1,1,17.95587
-2,15,17.963084
-3,15,17.970875
-2,9,17.975444
-1,1,17.976006
-1,1,17.976564
-4,5,17.979258
-5,9,17.983507
-1,13,17.989319
-3,13,17.995376
-2,7,17.998666
-1,4,18.001054
-1,2,18.002165
-1,1,18.002756
-2,5,18.005103
-1,2,18.006354
-1,8,18.009953
-1,3,18.011335
-4,11,18.016497
-1,1,18.017036
-4,7,18.020363
-1,2,18.021402
-1,2,18.022405
-1,1,18.022924
-2,9,18.026968
-1,3,18.028355
-1,2,18.029299
-3,5,18.031617
-1,1,18.032142
-1,1,18.032652
0,7,18.035823
-2,4,18.037696
-1,1,18.03821
-1,2,18.039178
-1,4,18.040989
-3,29,18.054825
-1,7,18.058057
-3,13,18.063867
-1,6,18.069142
-3,4,18.0715
-2,11,18.086701
-1,1,18.08802
-1,1,18.088548
-2,9,18.092629
-1,2,18.093581
-11,62,18.12295
-2,11,18.127886
-2,2,18.128883
-2,5,18.131169
-1,1,18.131675
-1,4,18.1335
-1,1,18.134017
-2,5,18.136315
-2,28,18.148948
-1,1,18.149473
-1,2,18.150446
0,22,18.16073
-2,2,18.161863
-1,4,18.163712
-1,1,18.164223
0,8,18.168407
-1,2,18.170006
-2,5,18.173335
-2,4,18.17574
0,10,18.181405
-1,1,18.181987
-3,3,18.183488
0,6,18.186259
-4,16,18.193605
-2,8,18.197279
-1,2,18.198248
-1,1,18.198757
-1,9,18.202848
-2,4,18.204907
0,8,18.20914
-1,1,18.209706
-1,1,18.2103
-2,13,18.216485
-4,22,18.226725
-1,3,18.228172
-1,8,18.231728
-1,1,18.232258
-1,1,18.23279
-1,9,18.236983
-2,12-4,13,18.736496
-1,1,18.736939
-1,1,18.737352
-2,24,18.745672
-1,1,18.746096
-2,3,18.747297
-3,13,18.752005
0,6,18.754335
-1,1,18.755051
-1,2,18.75583
-2,8,18.758649
-2,3,18.759823
-1,8,18.762655
-3,14,18.767647
-1,1,18.768073
-1,1,18.768513
-3,13,18.774257
-1,3,18.775535
-2,2,18.776448
-2,8,18.779755
0,19,18.786817
0,16,18.792381
-2,4,18.793968
-1,1,18.794406
-1,2,18.795159
-1,1,18.795567
0,12,18.799812
-1,3,18.801083
-1,1,18.801558
-1,2,18.802424
-1,1,18.802897
-1,1,18.803367
-1,7,18.806261
-1,3,18.807811
-3,4,18.81018
-1,1,18.810634
-1,1,18.811048
-1,2,18.8118
-4,34,18.827616
-1,2,18.828412
-2,6,18.8309
-1,1,18.83144
-6,28,18.846495
-1,1,18.847231
-4,9,18.850672
-1,4,18.852334
-1,1,18.853178
-1,2,18.856435
-1,3,18.857857
-2,8,18.86113
-1,4,18.862785
0,16,18.875374-2,4,19.464167
-1,1,19.465921
-1,2,19.467018
-1,2,19.468042
-1,3,19.469574
-2,4,19.472671
-1,1,19.473211
-3,24,19.486359
-1,1,19.487046
-2,15,19.495909
-1,4,19.497775
-1,1,19.498292
-1,1,19.4988
-2,13,19.504805
-1,1,19.505325
-1,11,19.510216
-3,6,19.51311
-1,1,19.513646
-3,12,19.519516
-1,1,19.520056
-1,3,19.521447
-1,5,19.523753
-1,1,19.524266
-3,11,19.529475
-3,18,19.537616
-2,13,19.543575
-2,3,19.545022
-1,1,19.545533
-1,1,19.546041
-1,13,19.552002
-1,2,19.553115
-1,3,19.554729
-3,25,19.567586
-3,15,19.574397
-2,8,19.578007
-1,1,19.578517
-1,10,19.583446
-1,4,19.585289
-1,1,19.585801
-2,8,19.589437
-3,5,19.591774
-1,13,19.597589
-3,29,19.610796
-3,41,19.629799
-1,1,19.630364
-2,6,19.633144
-6,26,19.645003
-2,2,19.64602
-1,8,19.649708
-2,5,19.652081
-1,1,19.652641
-1,10,19.657462
-7,16,19.665122
-2,13,19.673322
-1,2,19.675218
-8,39,19.702104
-1,1,19.702733
-2,8,19.70702
-2,5,19.70951
-1,1,19.710032
-3,17,19.720575
-1,4,19.722702
